127.0.0.1 - - [05/Sep/2015:21:26:23 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker-bs3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/daterangepicker/moment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/js/steward.js HTTP/1.1" 200 3595
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:50 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:57 +0800] "GET /DashBoard/action/getstewardloginoutinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:30:57 +0800] "GET /DashBoard/action/getstewardorderinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/pages/steward.html HTTP/1.1" 200 24087
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker-bs3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/js/steward.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/daterangepicker/moment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:23 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:30 +0800] "GET /DashBoard/action/getstewardloginoutinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:31:30 +0800] "GET /DashBoard/action/getstewardorderinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:41 +0800] "GET /DashBoard/pages/steward.html HTTP/1.1" 200 24108
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker-bs3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/js/steward.js HTTP/1.1" 200 3740
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/daterangepicker/moment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:41:42 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:42:27 +0800] "GET /DashBoard/action/getstewardorderinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:42:27 +0800] "GET /DashBoard/action/getstewardloginoutinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/pages/steward.html HTTP/1.1" 200 24133
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker-bs3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/datetimepicker/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/daterangepicker/moment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/bower_components/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:08 +0800] "GET /DashBoard/js/steward.js HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:09 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:16 +0800] "GET /DashBoard/action/getstewardloginoutinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:43:16 +0800] "GET /DashBoard/action/getstewardorderinfo?org=spring&plane=B-9940&start=1440864000000&end=1441382400000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:44:11 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:44:12 +0800] "GET /DashBoard/planeinfo/getplanelist?org=spring&page=1&rows=10 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:44:12 +0800] "GET /DashBoard/planeinfo/getflightlist?org=spring&plane=B-FL01&start=1440518400000&end=1441460652000 HTTP/1.1" 200 24779
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:44:16 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:44:57 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:44:59 +0800] "GET /DashBoard/planeinfo/getplanelist?org=spring&page=1&rows=10 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:02 +0800] "GET /DashBoard/pages/ife.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:02 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:02 +0800] "GET /DashBoard/js/ife.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:03 +0800] "GET /DashBoard/planeinfo/getplanelist?org=spring&page=1&rows=10 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:13 +0800] "GET /DashBoard/pages/electricity.html HTTP/1.1" 200 24709
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:24 +0800] "GET /DashBoard/status/getheartbeatrecord?org=spring&plane=B-FL01&start=1441296000000&end=1441382400000&optionalParams= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:30 +0800] "GET /DashBoard/status/getifeupdowninfo?org=spring&plane=B-FL01&start=1441296000000&end=1441382400000&optionalParams= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/images/battery_50.png HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/images/battery_25.png HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/status/getplaneinfo?org=spring&plane=B-FL01&start=1441296000000&end=1441382400000&optionalParams= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/images/battery_full.png HTTP/1.1" 200 3460
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/js/electricity.js HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/images/battery_75.png HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:40 +0800] "GET /DashBoard/status/getplanestatus?org=spring&plane=B-FL01&start=1441296000000&end=1441382400000&optionalParams= HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:45:41 +0800] "GET /DashBoard/images/loading.gif HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:46:43 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
0:0:0:0:0:0:0:1 - - [05/Sep/2015:21:46:43 +0800] "GET /DashBoard/bower_components/jquery/dist/jquery.min.map HTTP/1.1" 200 127542
